country_name_ru,country_name_en,m49_code,ISO_code
Австралия,Australia,36,AUS
Австрия,Austria,40,AUT
Азербайджан,Azerbaijan,31,AZE
Аландских островов,Åland Islands,248,ALA
Албания,Albania,8,ALB
Алжир,Algeria,12,DZA
Американское Самоа,American Samoa,16,ASM
Ангилья,Anguilla,660,AIA
Ангола,Angola,24,AGO
Андорра,Andorra,20,AND
Антарктике,Antarctica,10,ATA
Антигуа и Барбуда,Antigua and Barbuda,28,ATG
Аргентина,Argentina,32,ARG
Армения,Armenia,51,ARM
Аруба,Aruba,533,ABW
Афганистан,Afghanistan,4,AFG
Багамские Острова,Bahamas,44,BHS
Бангладеш,Bangladesh,50,BGD
Барбадос,Barbados,52,BRB
Бахрейн,Bahrain,48,BHR
Беларусь,Belarus,112,BLR
Белиз,Belize,84,BLZ
Бельгия,Belgium,56,BEL
Бенин,Benin,204,BEN
Бермудские острова,Bermuda,60,BMU
Болгария,Bulgaria,100,BGR
Боливия (Многонациональное Государство),Bolivia (Plurinational State of),68,BOL
"Бонайре, Синт-Эстатиус и Саба","Bonaire, Sint Eustatius and Saba",535,BES
Босния и Герцеговина,Bosnia and Herzegovina,70,BIH
Ботсвана,Botswana,72,BWA
Бразилия,Brazil,76,BRA
Британская территория в Индийском океане,British Indian Ocean Territory,86,IOT
Британские Виргинские острова,British Virgin Islands,92,VGB
Бруней-Даруссалам,Brunei Darussalam,96,BRN
Буркина-Фасо,Burkina Faso,854,BFA
Бурунди,Burundi,108,BDI
Бутан,Bhutan,64,BTN
Вануату,Vanuatu,548,VUT
Венгрия,Hungary,348,HUN
Венесуэла (Боливарианская Республика),Venezuela (Bolivarian Republic of),862,VEN
Виргинские острова Соединенных Штатов,United States Virgin Islands,850,VIR
Внешние малые острова Соединенных Штатов,United States Minor Outlying Islands,581,UMI
Вьетнам,Viet Nam,704,VNM
Габон,Gabon,266,GAB
Гайана,Guyana,328,GUY
Гаити,Haiti,332,HTI
Гамбия,Gambia,270,GMB
Гана,Ghana,288,GHA
Гваделупа,Guadeloupe,312,GLP
Гватемала,Guatemala,320,GTM
Гвинея,Guinea,324,GIN
Гвинея-Бисау,Guinea-Bissau,624,GNB
